,geo_id,geo_type,multi,single,condo,land,owner,rental,total_units,owner_pct,house_age_avg,sqft_avg,lot_size_avg,house_age,lot_size
65,28798,county,0,213,0,1,187,43,230,0.813,1989,2760.9702,5.012913,"{'t1990-99': 50, 't1980-89': 51, 't2010-19': 17, 't1969': 22, 't2000-09': 58, 't1970-79': 32}","{'a75': 5, 'a50': 5, 'a25': 1, 'a3': 157, 'a1': 19, 'a2': 43}"
66,61614,county,0,1,0,0,0,1,1,0.0,1965,1901.0,0.16099744,{'t1969': 1},{'a25': 1}
67,72905,county,54,4458,29,254,2719,2155,4874,0.5579,1976,6743.418,1.2347224,"{'t1990-99': 795, 't1980-89': 380, 't2010-19': 644, 't1969': 1772, 't2000-09': 873, 't1970-79': 410}","{'a125': 341, 'a75': 344, 'a50': 1233, 'a25': 1890, 'a3': 517, 'a1': 202, 'a2': 347}"
68,54308,county,0,1,0,0,1,0,1,1.0,0,3186.0,14.0,{'t1969': 1},{'a3': 1}
69,17816,county,0,29,0,0,24,8,32,0.75,1958,2160.2666,2.453247,"{'t1990-99': 5, 't1980-89': 1, 't1969': 21, 't2000-09': 4, 't1970-79': 1}","{'a125': 1, 'a75': 4, 'a50': 3, 'a3': 5, 'a1': 2, 'a2': 17}"
70,35474,county,0,137,2,0,92,48,140,0.6571,1933,2098.818,1.7398628,"{'t1990-99': 5, 't1980-89': 5, 't2010-19': 2, 't1969': 111, 't2000-09': 6, 't1970-79': 11}","{'a125': 7, 'a75': 11, 'a50': 33, 'a25': 48, 'a3': 17, 'a1': 9, 'a2': 15}"
71,41683,county,64,11080,1672,8,11242,1596,12838,0.8757,1970,2080.4314,2.1267006,"{'t1990-99': 1736, 't1980-89': 946, 't2010-19': 458, 't1969': 4726, 't2000-09': 3542, 't1970-79': 1430}","{'a125': 1510, 'a75': 676, 'a50': 4408, 'a25': 3832, 'a3': 1584, 'a1': 374, 'a2': 454}"
72,71267,county,2,1424,55,2,911,597,1508,0.6041,1978,2021.7632,1.8139151,"{'t1990-99': 161, 't1980-89': 101, 't2010-19': 174, 't1969': 470, 't2000-09': 472, 't1970-79': 130}","{'a125': 379, 'a75': 89, 'a50': 150, 'a25': 439, 'a3': 293, 'a1': 66, 'a2': 92}"
73,71379,county,55,3931,79,7,2124,1996,4120,0.5155,1964,1917.1935,0.5570675,"{'t1990-99': 532, 't1980-89': 276, 't2010-19': 172, 't1969': 1988, 't2000-09': 675, 't1970-79': 477}","{'a125': 1402, 'a75': 155, 'a50': 664, 'a25': 1238, 'a3': 238, 'a1': 160, 'a2': 263}"
74,65875,county,0,103,0,0,45,60,105,0.4286,1964,1722.3905,1.6271983,"{'t1990-99': 24, 't1980-89': 6, 't2010-19': 3, 't1969': 42, 't2000-09': 12, 't1970-79': 18}","{'a125': 9, 'a75': 1, 'a50': 18, 'a25': 48, 'a3': 10, 'a1': 11, 'a2': 8}"
75,41652,county,46,7353,420,3,7041,789,7830,0.8992,1972,1886.4419,0.9291133,"{'t1990-99': 1088, 't1980-89': 1140, 't2010-19': 366, 't1969': 3349, 't2000-09': 627, 't1970-79': 1260}","{'a125': 675, 'a75': 206, 'a50': 2562, 'a25': 2890, 'a3': 756, 'a1': 375, 'a2': 366}"
76,71868,county,17,747,18,6,463,347,810,0.5716,1968,1806.1381,2.594234,"{'t1990-99': 70, 't1980-89': 40, 't2010-19': 14, 't1969': 377, 't2000-09': 171, 't1970-79': 138}","{'a125': 68, 'a75': 46, 'a50': 181, 'a25': 295, 'a3': 97, 'a1': 47, 'a2': 76}"
77,27993,county,0,22,0,0,16,7,23,0.6957,1961,1755.6471,7.401615,"{'t1990-99': 2, 't1980-89': 2, 't1969': 13, 't2000-09': 3, 't1970-79': 3}","{'a75': 4, 'a3': 8, 'a50': 10, 'a2': 1}"
78,15731,county,0,2515,25,83,2359,303,2662,0.8862,1994,2272.652,2.676313,"{'t1990-99': 443, 't1980-89': 356, 't2010-19': 292, 't1969': 275, 't2000-09': 1057, 't1970-79': 239}","{'a125': 66, 'a75': 642, 'a50': 563, 'a25': 184, 'a3': 635, 'a1': 239, 'a2': 333}"
